FILTER REPORT
=============

Input file: final-test.json
Filter: status = 200
Total results: 4664
Filtered results: 3579

RESULTS:
--------
1. https://www.ozyegin.edu.tr/tr | status=200 | method=static | types=
2. https://www.ozyegin.edu.tr/tr/muhendislik-fakultesi/mudek-akreditasyonu | status=200 | method=static | types=
3. https://ie.ozyegin.edu.tr/tr | status=200 | method=static | types=
4. https://ee.ozyegin.edu.tr/tr | status=200 | method=static | types=
5. https://cs.ozyegin.edu.tr/tr | status=200 | method=static | types=
6. https://ai.ozyegin.edu.tr/tr | status=200 | method=static | types=
7. https://me.ozyegin.edu.tr/tr | status=200 | method=static | types=
8. https://ce.ozyegin.edu.tr/tr | status=200 | method=static | types=
9. https://www.ozyegin.edu.tr/tr/isletme | status=200 | method=static | types=
10. https://www.ozyegin.edu.tr/tr/antropoloji/hakkinda | status=200 | method=static | types=
11. https://www.ozyegin.edu.tr/tr/antropoloji | status=200 | method=static | types=
12. https://www.ozyegin.edu.tr/tr/uluslararasi-iliskiler | status=200 | method=static | types=
13. https://www.ozyegin.edu.tr/tr/havacilik-ve-uzay-bilimleri-fakultesi/aabi-aviation-accreditation-board-international | status=200 | method=static | types=
14. https://www.ozyegin.edu.tr/tr/havacilik-ve-uzay-bilimleri-fakultesi/ozu-simulator-merkezi | status=200 | method=static | types=
15. https://www.ozyegin.edu.tr/tr/pilotaj | status=200 | method=static | types=
16. https://www.ozyegin.edu.tr/tr/havacilik-yonetimi | status=200 | method=static | types=
17. https://www.ozyegin.edu.tr/tr/hukuk-fakultesi/hukuk-klinikleri | status=200 | method=static | types=
18. https://www.ozyegin.edu.tr/tr/havacilik-ve-uzay-bilimleri-fakultesi/akademik-kadro | status=200 | method=static | types=
19. https://www.ozyegin.edu.tr/tr/hukuk-fakultesi | status=200 | method=static | types=
20. https://www.ozyegin.edu.tr/tr/hukuk-fakultesi/mesleki-egitimlerimiz | status=200 | method=static | types=
21. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu/hukuk-lisansustu-programlari | status=200 | method=static | types=
22. https://www.ozyegin.edu.tr/tr/mimarlik | status=200 | method=static | types=
23. https://www.ozyegin.edu.tr/tr/iletisim-ve-tasarimi | status=200 | method=static | types=
24. https://www.ozyegin.edu.tr/tr/ab4-ve-yenilikci-egitim-ortami | status=200 | method=static | types=
25. https://www.ozyegin.edu.tr/tr/ic-mimarlik-ve-cevre-tasarimi | status=200 | method=static | types=
26. https://www.ozyegin.edu.tr/tr/hukuk-fakultesi/akademik-kadro | status=200 | method=static | types=
27. https://www.ozyegin.edu.tr/tr/mimarlik-ve-tasarim-fakultesi/lisansustu-programlar | status=200 | method=static | types=
28. https://www.ozyegin.edu.tr/tr/arastirma/arastirma-laboratuvarlari | status=200 | method=static | types=
29. https://www.ozyegin.edu.tr/tr/uygulamali-bilimler-fakultesi/acpha-akreditasyonu | status=200 | method=static | types=
30. https://www.ozyegin.edu.tr/tr/gastronomi-ve-mutfak-sanatlari | status=200 | method=static | types=
31. https://www.ozyegin.edu.tr/tr/otel-yoneticiligi | status=200 | method=static | types=
32. https://www.ozyegin.edu.tr/tr/mimarlik-ve-tasarim-fakultesi/akademik-kadro | status=200 | method=static | types=
33. https://www.ozyegin.edu.tr/tr/uygulamali-bilimler-fakultesi/akademik-kadro | status=200 | method=static | types=
34. https://www.ozyegin.edu.tr/tr/modern-diller-programi | status=200 | method=static | types=
35. https://www.ozyegin.edu.tr/tr/yabanci-diller-yuksekokulu/eaquals-akreditasyon | status=200 | method=static | types=
36. https://www.ozyegin.edu.tr/tr/lisans-ingilizce-programi | status=200 | method=static | types=
37. https://www.ozyegin.edu.tr/tr/ingilizce-hazirlik-programi | status=200 | method=static | types=
38. https://www.ozyegin.edu.tr/tr/yabanci-diller-yuksekokulu/scola-da-gelisim/ogrenci-gelisimi/ozu-ingilizce-dil-destek-merkezi | status=200 | method=static | types=
39. https://www.ozyegin.edu.tr/tr/spor-merkezi/spor-burslari | status=200 | method=static | types=
40. https://studentservices.ozyegin.edu.tr/tr/burs-ve-finansal-destek/lisansustu-burslari | status=200 | method=static | types=
41. https://studentservices.ozyegin.edu.tr/tr/burs-ve-finansal-destek/yks-giris-burslari | status=200 | method=static | types=
42. https://studentservices.ozyegin.edu.tr/tr/burs-ve-finansal-destek/lisans-akademik-basari-burslari | status=200 | method=static | types=
43. https://studentservices.ozyegin.edu.tr/tr/ucretler-ve-odemeler/2025-2026-akademik-yili-ucretleri/yurt-disindan-ogrenciler | status=200 | method=static | types=
44. https://studentservices.ozyegin.edu.tr/tr/burs-ve-finansal-destek/kismi-zamanli-calisma-olanagi | status=200 | method=static | types=
45. https://www.ozyegin.edu.tr/tr/yabanci-diller-yuksekokulu/akademik-kadro | status=200 | method=static | types=
46. https://studentservices.ozyegin.edu.tr/tr/ucretler-ve-odemeler/2025-2026-akademik-yili-ucretleri/lisansustu-ogrenim | status=200 | method=static | types=
47. https://studentservices.ozyegin.edu.tr/tr/hakkimizda | status=200 | method=static | types=
48. https://studentservices.ozyegin.edu.tr/tr/ucretler-ve-odemeler/odeme-yontemleri | status=200 | method=static | types=
49. https://studentservices.ozyegin.edu.tr/tr/burs-ve-finansal-destek | status=200 | method=static | types=
50. https://www.ozyegin.edu.tr/tr/akademik-kadro/baristan | status=200 | method=static | types=
51. https://www.ozyegin.edu.tr/tr/iletisim | status=200 | method=static | types=
52. https://www.ozyegin.edu.tr/tr/akademik/enstituler | status=200 | method=static | types=
53. https://www.ozyegin.edu.tr/tr/uluslararasi | status=200 | method=static | types=
54. https://studentservices.ozyegin.edu.tr/tr/akademik-takvim | status=200 | method=static | types=
55. https://www.ozyegin.edu.tr/tr/sosyal-bilimler-enstitusu | status=200 | method=static | types=
56. https://www.ozyegin.edu.tr/tr/ders-planlari | status=200 | method=static | types=
57. https://www.ozyegin.edu.tr/tr/akts-ders-katalogu | status=200 | method=static | types=
58. https://fbe.ozyegin.edu.tr/tr | status=200 | method=static | types=
59. https://studentservices.ozyegin.edu.tr/tr | status=200 | method=static | types=
60. https://www.ozyegin.edu.tr/tr/akts-ders-katalogu-acilan-dersler/acilan-dersler | status=200 | method=static | types=
61. https://tanitim.ozyegin.edu.tr/s/register | status=200 | method=static | types=
62. https://www.ozyegin.edu.tr/tr/ogrenci-gelisimi-ve-deneyimi | status=200 | method=static | types=
63. https://www.ozyegin.edu.tr/tr/ogrenci-hizmetleri/ucretler-ve-odemeler/borc-goruntuleme-ve-e-odeme | status=200 | method=static | types=
64. https://www.ozyegin.edu.tr/tr/hakkimizda | status=200 | method=static | types=
65. https://www.ozyegin.edu.tr/tr/basin | status=200 | method=static | types=
66. https://www.ozyegin.edu.tr/tr/hakkimizda/kurulus-oykusu | status=200 | method=static | types=
67. https://www.ozyegin.edu.tr/tr/hakkimizda/vizyon-ve-misyon | status=200 | method=static | types=
68. https://www.ozyegin.edu.tr/tr/stratejik-plan/2024-2029-stratejik-plani | status=200 | method=static | types=
69. https://www.ozyegin.edu.tr/tr/hakkimizda/dunden-bugune-rektorlerimiz | status=200 | method=static | types=
