FILTER REPORT
=============

Input file: results.json
Filter: is_google_form = true
Total results: 4664
Filtered results: 13

RESULTS:
--------
1. https://hsri.ozyegin.edu.tr/en/design-thinking-in-the-age-of-ai-comparing-traditional-and-ai-assisted-creativity-in-architectural-design | status=200 | method=static | types=google
2. https://hsri.ozyegin.edu.tr/en/carbon-negative-recycled-concrete-solutions | status=200 | method=static | types=google
3. https://hsri.ozyegin.edu.tr/en/sustainable-biocemented-3d-printing | status=200 | method=static | types=google
4. https://www.ozyegin.edu.tr/tr/sektorel-egitim/dersler/sec-101 | status=200 | method=static | types=google
5. https://hsri.ozyegin.edu.tr/yapay-zeka-caginda-tasarim-dusuncesi-mimari-tasarimda-geleneksel-ve-yapay-zeka-destekli-yaraticiligin-karsilastirilmasi | status=200 | method=static | types=google
6. https://hsri.ozyegin.edu.tr/karbon-negatif-geri-donusturulmus-beton-cozumleri | status=200 | method=static | types=google
7. https://hsri.ozyegin.edu.tr/surdurulebilir-biyocimentolu-3d-baski | status=200 | method=static | types=google
8. https://www.ozyegin.edu.tr/tr/ic-mimarlik-ve-cevre-tasarimi/lisans/staj | status=200 | method=static | types=google
9. https://www.ozyegin.edu.tr/tr/sektorel-egitim-ve-profesyonel-gelisim/sektorel-egitim/dersler/sec-101-universite-yasamina-giris | status=200 | method=static | types=google
10. https://www.ozyegin.edu.tr/en/sectoral-solutions-courses/courses/sec-101-introduction-university | status=200 | method=static | types=google
11. https://www.ozyegin.edu.tr/tr/node/8699 | status=200 | method=static | types=google
12. https://www.ozyegin.edu.tr/en/sectoral-education/lessons/sec-101 | status=200 | method=static | types=google
13. https://www.ozyegin.edu.tr/en/interior-architecture-and-environmental-design/undergraduate/internship | status=200 | method=static | types=google
